"","pawsid","slackDomain","filename","timestamp","exercise","task","totalscore","chunk"
"513","jrod131","isds1102s3","jrod131_e1d_1536282594272.xlsx","2018-09-07 00:59:14","e1","d","83.3333333333","e1d"
"514","jrod131","isds1102s3","jrod131_e1d_1536282648739.xlsx","2018-09-07 01:00:08","e1","d","83.3333333333","e1d"
"515","llevat1","isds1102s3","llevat1_e1b_1536182463975.xlsx","2018-09-05 21:10:27","e1","b","87.5","e1b"
"516","llevat1","isds1102s3","llevat1_e1a_1536253348378.xlsx","2018-09-06 16:51:50","e1","a","100.0","e1a"
"517","llevat1","isds1102s3","llevat1_e1b_1536253464447.xlsx","2018-09-06 16:53:45","e1","b","100.0","e1b"
"518","llevat1","isds1102s3","llevat1_e1c_1536255041574.xlsx","2018-09-06 17:20:03","e1","c","63.3333333333","e1c"
"519","llevat1","isds1102s3","llevat1_e1d_1536283594897.xlsx","2018-09-07 01:15:55","e1","d","100.0","e1d"
"520","jkin112","isds1102s3","jkin112_e1a_1536186592716.xlsx","2018-09-05 22:19:16","e1","a","77.75","e1a"
"521","jcogan1","isds1102s3","jcogan1_e1a_1536183177772.xlsx","2018-09-05 21:22:21","e1","a","100.0","e1a"
"522","bwils77","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"523","epoloz1","isds1102s3","epoloz1_e1a_1536182583206.xlsx","2018-09-05 21:12:27","e1","a","100.0","e1a"
"524","hlebl28","isds1102s3","hlebl28_e1a_1536641604758.xlsx","2018-09-11 04:42:32","e1","a","100.0","e1a"
"525","hlebl28","isds1102s3","hlebl28_e1c_1536645509349.xlsx","2018-09-11 05:47:36","e1","c","96.6666666667","e1c"
"526","ihazar1","isds1102s3","ihazar1_e1a_1536183213155.xlsx","2018-09-05 21:22:58","e1","a","93.75","e1a"
"527","clacos6","isds1102s3","clacos6_e1a_1536182842654.xlsx","2018-09-05 21:16:46","e1","a","93.75","e1a"
"528","clacos6","isds1102s3","clacos6_e1a_1536183076893.xlsx","2018-09-05 21:20:40","e1","a","84.25","e1a"
"529","clacos6","isds1102s3","clacos6_e1a_1536185783112.xlsx","2018-09-05 22:05:46","e1","a","100.0","e1a"
"530","jwebb47","isds1102s3","jwebb47_e1a_1536185236891.xlsx","2018-09-05 21:56:40","e1","a","93.75","e1a"
"531","jwebb47","isds1102s3","jwebb47_e1b_1536551168035.xlsx","2018-09-10 03:35:18","e1","b","93.75","e1b"
"532","jrowe6","isds1102s3","jrowe6_e1a_1536181912170.xlsx","2018-09-05 21:01:16","e1","a","93.75","e1a"
"533","jrowe6","isds1102s3","jrowe6_e1b_1536182279912.xlsx","2018-09-05 21:07:23","e1","b","93.75","e1b"
"534","jrowe6","isds1102s3","jrowe6_e1c_1536195050011.xlsx","2018-09-06 00:40:13","e1","c","73.3333333333","e1c"
"535","jrowe6","isds1102s3","jrowe6_e1d_1536527978292.xlsx","2018-09-09 21:08:49","e1","d","66.6666666667","e1d"
"536","mcraw36","isds1102s3","mcraw36_e1a_1536195400593.xlsx","2018-09-06 00:46:04","e1","a","100.0","e1a"
"537","mcraw36","isds1102s3","mcraw36_e1b_1536195407281.xlsx","2018-09-06 00:46:10","e1","b","75.0","e1b"
"538","fchene1","isds1102s3","fchene1_e1a_1536182997312.xlsx","2018-09-05 21:19:21","e1","a","69.75","e1a"
"539","jmit115","isds1102s3","jmit115_e1a_1536182467863.xlsx","2018-09-05 21:10:31","e1","a","90.5","e1a"
"540","jmit115","isds1102s3","jmit115_e1b_1536182951984.xlsx","2018-09-05 21:18:35","e1","b","100.0","e1b"
"541","jmit115","isds1102s3","jmit115_e1c_1536594346505.xlsx","2018-09-10 15:34:55","e1","c","55.3333333333","e1c"
"542","jmit115","isds1102s3","jmit115_e1d_1536595322258.xlsx","2018-09-10 15:51:11","e1","d","100.0","e1d"
"543","jmcdev2","isds1102s3","jmcdev2_e1a_1536182485613.xlsx","2018-09-05 21:10:49","e1","a","100.0","e1a"
"544","jmcdev2","isds1102s3","jmcdev2_e1b_1536182920882.xlsx","2018-09-05 21:18:04","e1","b","100.0","e1b"
"545","efrand1","isds1102s3","efrand1_e1a_1536183076788.xlsx","2018-09-05 21:20:40","e1","a","93.75","e1a"
"546","efrand1","isds1102s3","efrand1_e1b_1536557292678.xlsx","2018-09-10 05:17:29","e1","b","84.0","e1b"
"547","mprado4","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"548","pyoun15","isds1102s3","pyoun15_e1a_1536182889361.xlsx","2018-09-05 21:17:33","e1","a","99.25","e1a"
"549","mnarci1","isds1102s3","mnarci1_e1a_1536181862017.xlsx","2018-09-05 21:00:25","e1","a","100.0","e1a"
